qc;rpm;ms;
456;238;50;
580;129;50;
904;153;50;
1100;142;50;
1391;148;50;
1604;145;50;
1884;147;50;
2105;145;50;
2380;146;50;
2603;146;50;
2877;146;50;
3101;146;50;
3376;145;50;
3597;147;50;
3876;145;50;
4090;148;50;
4381;142;50;
4576;153;50;
4900;129;50;
5025;238;50;
6518;1511;50;
9379;1621;50;
12041;1597;50;
14832;1607;50;
17527;1602;50;
20299;1605;50;
23005;1603;50;
25771;1604;50;
28481;1604;50;
31244;1604;50;
33956;1604;50;
36719;1604;50;
39429;1604;50;
42195;1603;50;
44901;1605;50;
47673;1602;50;
50368;1607;50;
53159;1597;50;
55821;1621;50;
58682;1511;50;
60175;238;50;
60300;129;50;
60624;153;50;
60819;142;50;
61110;148;50;
61324;145;50;
61604;147;50;
61824;145;50;
62100;146;50;
62323;146;50;
62597;146;50;
62820;146;50;
63096;145;50;
63316;147;50;
63596;145;50;
63810;148;50;
64100;142;50;
64296;153;50;
64620;129;50;
64744;238;50;
66237;1511;50;
69099;1621;50;
71761;1597;50;
74551;1607;50;
77247;1602;50;
80019;1605;50;
82725;1603;50;
85490;1604;50;
88201;1604;50;
90964;1604;50;
93676;1604;50;
96438;1604;50;
99149;1604;50;
101914;1603;50;
104621;1605;50;
107393;1602;50;
110088;1607;50;
112879;1597;50;
115540;1621;50;
118402;1511;50;
119895;238;50;
120019;129;50;
120344;153;50;
120539;142;50;
120830;148;50;
121044;145;50;
121323;147;50;
121544;145;50;
121819;146;50;
122043;146;50;
122317;146;50;
122540;146;50;
122815;145;50;
123036;147;50;
123316;145;50;
123529;148;50;
123820;142;50;
124015;153;50;
124340;129;50;
124464;238;50;
125957;1511;50;
128819;1621;50;
131480;1597;50;
134271;1607;50;
136966;1602;50;
139739;1605;50;
142445;1603;50;
145210;1604;50;
147921;1604;50;
150683;1604;50;
153395;1604;50;
156158;1604;50;
158869;1604;50;
161634;1603;50;
164340;1605;50;
167113;1602;50;
169808;1607;50;
172599;1597;50;
175260;1621;50;
178122;1511;50;
179615;238;50;
179739;129;50;
180063;153;50;
180259;142;50;
180550;148;50;
180763;145;50;
181043;147;50;
181264;145;50;
181539;146;50;
181762;146;50;
182036;146;50;
182260;146;50;
182535;145;50;
182756;147;50;
183035;145;50;
183249;148;50;
183540;142;50;
183735;153;50;
184059;129;50;
184184;238;50;
185677;1511;50;
188538;1621;50;
191200;1597;50;
193991;1607;50;
196686;1602;50;
199458;1605;50;
202164;1603;50;
204930;1604;50;
207641;1604;50;
210403;1604;50;
213115;1604;50;
215878;1604;50;
218588;1604;50;
221354;1603;50;
224060;1605;50;
226832;1602;50;
229527;1607;50;
232318;1597;50;
234980;1621;50;
237841;1511;50;
239334;238;50;
239459;129;50;
239783;153;50;
239978;142;50;
240269;148;50;
240483;145;50;
240763;147;50;
240983;145;50;
241259;146;50;
241482;146;50;
241756;146;50;
241979;146;50;
242255;145;50;
242475;147;50;
242755;145;50;
242969;148;50;
243259;142;50;
243455;153;50;
243779;129;50;
243903;238;50;
245396;1511;50;
248258;1621;50;
250920;1597;50;
253710;1607;50;
256406;1602;50;
259178;1605;50;
261884;1603;50;
264649;1604;50;
267360;1604;50;
270123;1604;50;
272835;1604;50;
275597;1604;50;
278308;1604;50;
281073;1603;50;
283780;1605;50;
286552;1602;50;
289247;1607;50;
292038;1597;50;
294699;1621;50;
297561;1511;50;
299054;238;50;
299178;129;50;
299503;153;50;
299698;142;50;
299989;148;50;
300203;145;50;
300482;147;50;
300703;145;50;
300978;146;50;
301202;146;50;
301476;146;50;
301699;146;50;
301974;145;50;
302195;147;50;
302475;145;50;
302688;148;50;
302979;142;50;
303174;153;50;
303499;129;50;
303623;238;50;
305116;1511;50;
307978;1621;50;
310639;1597;50;
313430;1607;50;
316125;1602;50;
318898;1605;50;
321604;1603;50;
324369;1604;50;
327080;1604;50;
329842;1604;50;
332554;1604;50;
335317;1604;50;
338028;1604;50;
340793;1603;50;
343499;1605;50;
346272;1602;50;
348967;1607;50;
351758;1597;50;
354419;1621;50;
357281;1511;50;
358774;238;50;
358898;129;50;
359223;153;50;
359418;142;50;
359709;148;50;
359922;145;50;
360202;147;50;
360423;145;50;
360698;146;50;
360921;146;50;
361195;146;50;
361419;146;50;
361694;145;50;
361915;147;50;
362194;145;50;
362408;148;50;
362699;142;50;
362894;153;50;
363219;129;50;
363343;238;50;
364836;1511;50;
367697;1621;50;
370359;1597;50;
373150;1607;50;
375845;1602;50;
378617;1605;50;
381324;1603;50;
384089;1604;50;
386800;1604;50;
389562;1604;50;
392274;1604;50;
395037;1604;50;
397748;1604;50;
400513;1603;50;
403219;1605;50;
405991;1602;50;
408687;1607;50;
411477;1597;50;
414139;1621;50;
417000;1511;50;
418493;238;50;
418618;129;50;
418942;153;50;
419137;142;50;
419428;148;50;
419642;145;50;
419922;147;50;
420142;145;50;
420418;146;50;
420641;146;50;
420915;146;50;
421138;146;50;
421414;145;50;
421634;147;50;
421914;145;50;
422128;148;50;
422419;142;50;
422614;153;50;
422938;129;50;
423063;238;50;
424556;1511;50;
427417;1621;50;
430079;1597;50;
432869;1607;50;
435565;1602;50;
438337;1605;50;
441043;1603;50;
443808;1604;50;
446519;1604;50;
449282;1604;50;
451994;1604;50;
454756;1604;50;
457467;1604;50;
460232;1603;50;
462939;1605;50;
465711;1602;50;
468406;1607;50;
471197;1597;50;
473858;1621;50;
476720;1511;50;
478213;238;50;
478337;129;50;
