qc;rpm;ms;
-441;-207;50;
-497;-91;50;
-763;-116;50;
-893;-106;50;
-1124;-111;50;
-1274;-108;50;
-1493;-110;50;
-1650;-109;50;
-1864;-110;50;
-2024;-109;50;
-2237;-109;50;
-2397;-110;50;
-2611;-109;50;
-2769;-110;50;
-2988;-108;50;
-3137;-111;50;
-3368;-106;50;
-3498;-116;50;
-3764;-91;50;
-3820;-207;50;
-5313;-1543;50;
-8243;-1658;50;
-10963;-1633;50;
-13819;-1644;50;
-16574;-1638;50;
-19411;-1642;50;
-22177;-1639;50;
-25006;-1641;50;
-27778;-1640;50;
-30604;-1640;50;
-33377;-1640;50;
-36203;-1640;50;
-38975;-1641;50;
-41804;-1639;50;
-44571;-1642;50;
-47407;-1638;50;
-50162;-1644;50;
-53018;-1633;50;
-55738;-1658;50;
-58668;-1543;50;
-60161;-207;50;
-60217;-91;50;
-60483;-116;50;
-60613;-106;50;
-60844;-111;50;
-60994;-108;50;
-61213;-110;50;
-61370;-109;50;
-61584;-110;50;
-61744;-109;50;
-61957;-109;50;
-62117;-110;50;
-62331;-109;50;
-62488;-110;50;
-62707;-108;50;
-62857;-111;50;
-63088;-106;50;
-63218;-116;50;
-63484;-91;50;
-63540;-207;50;
-65033;-1543;50;
-67963;-1658;50;
-70683;-1633;50;
-73539;-1644;50;
-76294;-1638;50;
-79130;-1642;50;
-81897;-1639;50;
-84726;-1641;50;
-87498;-1640;50;
-90324;-1640;50;
-93097;-1640;50;
-95923;-1640;50;
-98694;-1641;50;
-101523;-1639;50;
-104290;-1642;50;
-107127;-1638;50;
-109882;-1644;50;
-112737;-1633;50;
-115457;-1658;50;
-118388;-1543;50;
-119881;-207;50;
-119936;-91;50;
-120202;-116;50;
-120333;-106;50;
-120564;-111;50;
-120713;-108;50;
-120932;-110;50;
-121089;-109;50;
-121304;-110;50;
-121464;-109;50;
-121677;-109;50;
-121837;-110;50;
-122051;-109;50;
-122208;-110;50;
-122427;-108;50;
-122577;-111;50;
-122807;-106;50;
-122938;-116;50;
-123204;-91;50;
-123260;-207;50;
-124753;-1543;50;
-127683;-1658;50;
-130403;-1633;50;
-133258;-1644;50;
-136014;-1638;50;
-138850;-1642;50;
-141617;-1639;50;
-144446;-1641;50;
-147217;-1640;50;
-150043;-1640;50;
-152816;-1640;50;
-155642;-1640;50;
-158414;-1641;50;
-161243;-1639;50;
-164010;-1642;50;
-166846;-1638;50;
-169602;-1644;50;
-172457;-1633;50;
-175177;-1658;50;
-178107;-1543;50;
-179600;-207;50;
-179656;-91;50;
-179922;-116;50;
-180052;-106;50;
-180283;-111;50;
-180433;-108;50;
-180652;-110;50;
-180809;-109;50;
-181023;-110;50;
-181183;-109;50;
-181396;-109;50;
-181556;-110;50;
-181771;-109;50;
-181928;-110;50;
-182147;-108;50;
-182296;-111;50;
-182527;-106;50;
-182657;-116;50;
-182923;-91;50;
-182979;-207;50;
-184472;-1543;50;
-187402;-1658;50;
-190122;-1633;50;
-192978;-1644;50;
-195733;-1638;50;
-198570;-1642;50;
-201337;-1639;50;
-204165;-1641;50;
-206937;-1640;50;
-209763;-1640;50;
-212536;-1640;50;
-215362;-1640;50;
-218134;-1641;50;
-220963;-1639;50;
-223730;-1642;50;
-226566;-1638;50;
-229321;-1644;50;
-232177;-1633;50;
-234897;-1658;50;
-237827;-1543;50;
-238879;-875;50;
-238879;0;0;
