#Trial: 2  (x[g], y[g], z[g], 3D A_Vec, samples) 
-0.00501, 0.09003, 0.9264, 0.930777879518, 1.0
0.0125, 0.23969, 0.95084, 0.980665208774, 2.0
0.00519, 0.36017, 1.00461, 1.06723503367, 3.0
-0.13805, 0.21772, 1.15476, 1.18318656961, 4.0
-0.13681, -0.27014, 1.24856, 1.28475471173, 5.0
0.06675, -0.35318, 1.02696, 1.08804343502, 6.0
0.12654, -0.13924, 0.79683, 0.818741838494, 7.0
0.05905, -0.04628, 0.93028, 0.93330039071, 8.0
-0.0464, 0.18865, 1.024, 1.04226569669, 9.0
-0.06562, 0.30919, 0.85244, 0.909152569209, 10.0
0.01042, 0.22203, 0.82889, 0.858175115813, 11.0
0.07601, 0.16649, 0.92271, 0.940686017915, 12.0
0.10581, -0.16259, 1.09386, 1.11092797417, 13.0
-0.05332, -0.43752, 1.13978, 1.22203323245, 14.0
-0.12984, -0.14673, 1.05899, 1.07696236638, 15.0
0.02077, 0.08504, 1.20276, 1.20594146297, 16.0
0.03046, 0.2447, 0.98902, 1.01929704306, 17.0
-0.04007, 0.20601, 0.89891, 0.923084456104, 18.0
-0.0886, 0.18255, 1.02474, 1.04463703271, 19.0
-0.0581, -0.09597, 1.14706, 1.1525330774, 20.0
0.07188, -0.46194, 1.17421, 1.26385300652, 21.0
0.11958, -0.28699, 1.2593, 1.2971118404, 22.0
-0.03855, 0.03944, 1.13515, 1.13648895226, 23.0
-0.09204, 0.24085, 1.02136, 1.05340226585, 24.0
-0.043, 0.29933, 0.82058, 0.874527864222, 25.0
0.00177, 0.20097, 0.91553, 0.937329853733, 26.0
-0.04855, -0.11013, 0.97875, 0.986122346314, 27.0
-0.0391, -0.50965, 1.38141, 1.47294450697, 28.0
-0.15056, -0.27227, 0.97061, 1.01925612022, 29.0
-0.07579, -0.04449, 1.17732, 1.1805955559, 30.0
0.03417, 0.16617, 1.05829, 1.07180118581, 31.0
-0.00462, 0.26559, 0.77591, 0.820119333146, 32.0
-0.05419, 0.20081, 0.93252, 0.955434331914, 33.0
-0.13728, 0.10939, 1.00451, 1.01973148946, 34.0
-0.11489, -0.18943, 1.09502, 1.11720733859, 35.0
0.10632, -0.35058, 1.00444, 1.06916322065, 36.0
0.1186, -0.12283, 0.98358, 0.998289930481, 37.0
-0.07584, 0.07279, 1.19916, 1.20375861172, 38.0
-0.08122, 0.25056, 1.01334, 1.04701239611, 39.0
0.03212, 0.18305, 0.94108, 0.959255212808, 40.0
0.10256, -0.08283, 1.14676, 1.15431272197, 41.0
-0.10876, -0.46876, 1.15779, 1.25381113382, 42.0
-0.11477, -0.18417, 1.01175, 1.03476026417, 43.0
0.01306, 0.02171, 1.31448, 1.31472413764, 44.0
0.04195, 0.19025, 1.2317, 1.24701233153, 45.0
0.04642, 0.2804, 0.96066, 1.0018216468, 46.0
-0.02061, 0.2153, 0.87524, 0.901567479283, 47.0
-0.16856, 0.06687, 1.02217, 1.03813081035, 48.0
-0.0579, -0.24353, 0.91148, 0.945227518273, 49.0
0.01368, -0.56092, 1.46874, 1.57226447406, 50.0
0.24386, -0.29666, 0.85319, 0.935632423177, 51.0
0.08411, -0.01125, 0.86603, 0.870177576992, 52.0
-0.065, 0.1898, 1.10824, 1.12625260825, 53.0
-0.08992, 0.338, 0.81412, 0.886070528118, 54.0
0.03719, 0.21748, 0.8814, 0.908595953381, 55.0
0.19533, 0.029, 1.13736, 1.15437540623, 56.0
0.02062, -0.18479, 1.02613, 1.04284001908, 57.0
-0.20125, -0.14394, 0.72031, 0.761621153987, 58.0
-0.05635, 0.04383, 0.89014, 0.892998102462, 59.0
0.02607, 0.23786, 1.0906, 1.11654170746, 60.0
0.03172, 0.28065, 0.84924, 0.894974389857, 61.0
-0.0237, 0.21187, 0.89108, 0.916228221187, 62.0
-0.18154, 0.0523, 1.07759, 1.09402571711, 63.0
-0.01956, -0.29908, 1.1213, 1.16066581323, 64.0
0.14488, -0.25976, 0.93584, 0.981968419859, 65.0
0.11915, -0.04076, 0.8699, 0.878967638824, 66.0
-0.01194, 0.00688, 1.141, 1.14108321257, 67.0
-0.09813, 0.21864, 1.0133, 1.0412539731, 68.0
-0.09981, 0.34013, 0.83008, 0.902598060822, 69.0
0.02485, 0.21273, 0.89064, 0.916030122321, 70.0
0.16418, 0.0581, 0.99365, 1.00879681051, 71.0
0.24776, -0.1599, 1.1526, 1.18972256749, 72.0
-0.01589, -0.2749, 1.00804, 1.04497231719, 73.0
-0.15262, -0.05674, 0.69646, 0.715240395671, 74.0
-0.08855, -0.06115, 0.96995, 0.975901341069, 75.0
-0.00997, 0.13203, 1.05629, 1.06455619199, 76.0
0.03402, 0.30655, 0.76047, 0.820636876944, 77.0
-0.04877, 0.20359, 0.91802, 0.94158808478, 78.0
-0.21289, 0.01294, 0.89651, 0.921531212602, 79.0
-0.08137, -0.25702, 1.08599, 1.11895247325, 80.0
0.16546, -0.32053, 0.88694, 0.957485799425, 81.0
0.16858, -0.09455, 0.76171, 0.785850522046, 82.0
0.02484, 0.15226, 0.92367, 0.93646484296, 83.0
-0.11564, 0.33909, 1.02919, 1.089764513, 84.0
-0.06396, 0.28082, 0.86613, 0.912760609853, 85.0
0.10357, 0.06806, 1.00768, 1.01527232352, 86.0
0.24947, -0.19258, 1.31872, 1.35585573558, 87.0
-0.06193, -0.47166, 1.13887, 1.23422986409, 88.0
-0.05018, -0.32041, 0.90287, 0.959351258612, 89.0
-0.12446, -0.05232, 1.01417, 1.02311703285, 90.0
-0.00976, 0.13917, 1.07926, 1.08823972272, 91.0
0.0482, 0.32735, 0.73662, 0.807521075205, 92.0
0.02172, 0.29384, 0.78384, 0.83738811169, 93.0
-0.07086, 0.19416, 0.89233, 0.915954187774, 94.0
-0.23431, 0.03397, 1.05686, 1.08305502935, 95.0
0.0126, -0.15715, 0.98666, 0.999176079628, 96.0
0.22736, -0.13883, 0.83758, 0.878923543262, 97.0
0.15566, -0.02942, 0.66971, 0.688191147938, 98.0
0.03259, -0.00097, 1.08717, 1.08765879664, 99.0
-0.07575, 0.18613, 1.10438, 1.12251397488, 100.0
-0.09132, 0.36079, 0.82103, 0.901442747711, 101.0
-0.00081, 0.27509, 0.8859, 0.927628144355, 102.0
0.12802, 0.13888, 0.93928, 0.958083343556, 103.0
0.0233, -0.19784, 1.18333, 1.19998060172, 104.0
-0.12421, -0.27666, 0.78068, 0.837514263819, 105.0
-0.15788, -0.12236, 0.70414, 0.731922949223, 106.0
-0.01177, 0.16109, 0.6498, 0.669573417184, 107.0
0.01075, 0.27125, 0.91462, 0.954055485493, 108.0
-0.09739, 0.17636, 0.97304, 0.993677263149, 109.0
-0.08254, -0.09286, 1.00283, 1.01049682835, 110.0
0.11892, -0.26603, 0.79106, 0.84302422913, 111.0
0.18784, -0.0631, 0.74186, 0.767868305896, 112.0
-0.07067, 0.16941, 0.99752, 1.01426828177, 113.0
-0.08275, 0.31322, 0.81424, 0.876322491153, 114.0
-0.00609, 0.22281, 0.91765, 0.944331989663, 115.0
0.06813, 0.16407, 0.89284, 0.910342752704, 116.0
0.18166, -0.12951, 1.10521, 1.12750270057, 117.0
-0.00465, -0.29013, 0.96102, 1.00387074855, 118.0
-0.13717, -0.09075, 0.73698, 0.755109721696, 119.0
-0.05112, 0.13145, 0.98575, 0.995788842777, 120.0
0.03039, 0.27676, 0.83502, 0.880214774984, 121.0
0.03118, 0.3186, 0.72702, 0.794377890427, 122.0
-0.05436, 0.20497, 0.97466, 0.997461691545, 123.0
-0.14043, 0.13785, 1.03153, 1.05013206231, 124.0
-0.20976, -0.00979, 1.09856, 1.11844945138, 125.0
-0.04847, -0.2408, 1.07045, 1.09827008673, 126.0
0.1878, -0.21224, 0.71421, 0.768381794227, 127.0
0.05403, 0.12685, 0.91597, 0.926288942123, 128.0
-0.13923, 0.32868, 0.98209, 1.04494799076, 129.0
-0.11425, 0.35733, 0.8467, 0.926087836763, 130.0
-0.0804, 0.34086, 0.79453, 0.868290055511, 131.0
0.02957, 0.23504, 0.91346, 0.943677571049, 132.0
0.1271, 0.14486, 0.91602, 0.936072363656, 133.0
0.25408, -0.06428, 1.20638, 1.23452066374, 134.0
0.04704, -0.23384, 0.93679, 0.966679580471, 135.0
-0.16676, -0.13201, 0.90491, 0.929568526683, 136.0
-0.05217, 0.06965, 0.86063, 0.865018397666, 137.0
0.05938, 0.26332, 1.00702, 1.0425702313, 138.0
-0.02419, 0.23487, 0.88691, 0.917800861353, 139.0
-0.09005, 0.18177, 1.0319, 1.05164963053, 140.0
-0.16961, -0.02578, 1.15708, 1.16972915109, 141.0
-0.06968, -0.34067, 1.29875, 1.3444935529, 142.0
0.12423, -0.50775, 1.44946, 1.5408366062, 143.0
